decade_cohort_label,n,mean,median,std,q25,q75
1960s,95,2.0538959014288967,1.1715193316836028,2.7808741308217635,0.7960301163586585,2.1800136892539355
1970s,169,2.0806872777091003,1.429158110882957,2.3379139235278115,1.0221309605293178,2.213552361396304
1980s,124,2.7065135825643853,2.1090296424998685,1.9271682903934366,1.497561601642711,3.1526351813826143
1990s,213,3.0230911612050155,2.6575404973762264,1.5504590892953536,1.9292721879990875,3.807437827971709
2000s,176,2.5133660284899317,2.242299794661191,1.10084661122894,1.8098904859685148,3.2053388090349078
2010s,104,1.4612611663946367,1.3607118412046544,0.7460971258639092,0.9630390143737166,1.9069130732375084
